trial_id,user_id,snapshot_date,trial_started_at,country,device_type,sessions_day1,sessions_day2,sessions_day3,listen_sessions_3d,total_minutes_3d,converted,sessions_3d,active_days_3d,day1_share,listen_share,avg_session_minutes
1,27046,2026-09-24,2026-08-01,EU,iOS,4,0,2,2,81,0,6,2,0.6666666666666666,0.3333333333333333,13.5
2,27052,2026-09-24,2026-08-01,EU,Android,1,2,2,0,83,0,5,3,0.2,0.0,16.6
3,27053,2026-09-24,2026-08-01,Rest,Android,3,0,3,6,26,1,6,2,0.5,1.0,4.333333333333333
4,27054,2026-09-24,2026-08-01,US,iOS,0,0,0,0,0,0,0,0,0.0,0.0,0.0
5,27055,2026-09-24,2026-08-01,EU,iOS,18,2,0,5,158,0,20,2,0.9,0.25,7.9
6,27057,2026-09-24,2026-08-01,EU,Web,1,1,5,3,68,0,7,3,0.14285714285714285,0.42857142857142855,9.714285714285714
7,27061,2026-09-24,2026-08-01,US,Web,3,1,3,4,106,1,7,3,0.42857142857142855,0.5714285714285714,15.142857142857142
8,27062,2026-09-24,2026-08-01,Rest,Web,14,10,8,5,361,1,32,3,0.4375,0.15625,11.28125
9,27063,2026-09-24,2026-08-01,US,Web,6,2,2,2,126,1,10,3,0.6,0.2,12.6
10,27064,2026-09-24,2026-08-01,India,Web,7,1,2,2,75,0,10,3,0.7,0.2,7.5
11,27065,2026-09-24,2026-08-01,US,Android,1,0,0,0,16,0,1,1,1.0,0.0,16.0
12,27066,2026-09-24,2026-08-01,EU,iOS,9,2,9,8,319,1,20,3,0.45,0.4,15.95
13,27067,2026-09-24,2026-08-01,US,iOS,5,1,4,5,52,1,10,3,0.5,0.5,5.2
14,27068,2026-09-24,2026-08-01,Rest,Web,0,0,0,0,0,0,0,0,0.0,0.0,0.0
15,27069,2026-09-24,2026-08-01,EU,iOS,1,2,0,1,45,0,3,2,0.3333333333333333,0.3333333333333333,15.0
16,27072,2026-09-24,2026-08-01,Rest,iOS,4,3,2,2,109,1,9,3,0.4444444444444444,0.2222222222222222,12.11111111111111
17,27074,2026-09-24,2026-08-01,US,iOS,2,5,4,4,167,1,11,3,0.18181818181818182,0.36363636363636365,15.181818181818182
